ID,Module,Sub-module,Requirement#,Description,Metrics,Test Requirements,Pass Criteria,Priority,Version,PRD Chapter Reference,HLD Reference,LLD Reference
REQ-085,Common Platform Layer,Panic/Assert Handling,FR-CS-009,"Panic procedure: set global Panic flag (atomic operation), stop accepting new NVMe commands, save all firmware core runtime state (register snapshot/stack backtrace), write critical state (L2P table summary/error context) to Panic Dump (/var/hfsss/panic_dump_<timestamp>.bin), deliver Controller Fatal Status to host (CSTS.CFS=1), perform best-effort data persistence, record Panic reason to NOR Log, exit daemon, configure ulimit -c unlimited to generate coredump",Panic test,Panic test,Panic procedure executes normally,P0,V2.0,5.6.9,,
REQ-086,Common Platform Layer,System Debug Mechanism,FR-CS-010,"Debug functions: Command Trace with full trace enabled (records each command receive/process/complete time/operation sequence), Trace ring buffer default keeps last 100000 entries, export JSON Lines format, dynamically controlled via OOB interface; NAND operation Trace records each NAND command detail, filterable by Channel; FTL operation Trace records L2P lookup/GC trigger/WL migration, output compatible with FlashSim/MQSim; daemon supports GDB attach, provides Python GDB scripts for key data structures, supports GDB breakpoints; fine-grained performance counters by command type/LBA range/Channel for IOPS/bandwidth/latency stats, exported via /proc/hfsss/perf_counters or OOB, supports counter Reset",Debug function test,Debug function test,Trace records normally,P0,V2.0,5.6.10,,
REQ-087,Common Platform Layer,System Event Log Mechanism,FR-CS-011,"Event levels: FATAL(0), ERROR(1), WARN(2), INFO(3), DEBUG(4), TRACE(5)",Log level test,Log level test,All levels output normally,P0,V1.5,5.6.11,,
REQ-088,Common Platform Layer,System Event Log Mechanism,FR-CS-011,"Log storage: memory Ring Buffer default 64MB, WARN and above written to NOR Log partition, DEBUG and above written to /var/log/hfsss/hfsss.log, supports logrotate, WARN and above synced to Linux syslog (journald); Log entry format: [timestamp us][level][module name][Core ID] message content {structured fields JSON}",Log storage test,Log storage test,Logs correctly persisted,P0,V1.5,5.6.11,,
REQ-089,Algorithm Task Layer,Address Mapping Management,FR-APP-001,"Address mapping architecture: default page-level mapping (Page-Level Mapping, 4KB/entry), PPN 64bit encoding ([63:48]Reserved, [47:40]Channel ID, [39:36]Chip ID, [35:34]Die ID, [33:32]Plane ID, [31:19]Block ID, [18:10]Page ID, [9:0]Offset)",Address mapping test,Address mapping test,PPN encoding/decoding correct,P0,V1.0,5.7.1,,
REQ-090,Algorithm Task Layer,Address Mapping Management,FR-APP-001,"Mapping table design: full L2P mapping table stored in DRAM, 2TB SSD (512M pages) each mapping 4 bytes total 2GB, mmap(MAP_ANONYMOUS|MAP_HUGETLB) allocates 2MB huge pages, invalid LPN maps to 0xFFFFFFFF (INVALID_PPN); reverse mapping table (P2L) info stored in per-page OOB area (LPN + write timestamp); in-memory sparse P2L cache (GC candidate Blocks only); L2P mapping table Checkpoint persistence (full write to file every 1GB of writes), incremental persistence (write incremental log WAL after each GC completion), load latest Checkpoint on power-up and replay WAL to recover complete mapping table",Mapping table test,Mapping table test,Mapping table correctly recovered,P0,V1.0,5.7.1,,
REQ-091,Algorithm Task Layer,Address Mapping Management,FR-APP-001,"Over-provisioning: reserve 20% NAND space as OP area (not mapped to any LBA, dedicated to GC), OP_Blocks=Total_Blocks*0.20, user can adjust OP ratio (7%-50%) via Format NVM, higher OP improves GC efficiency and lowers WAF",OP configuration test,OP configuration test,WAF meets expectations,P0,V1.5,5.7.1,,
REQ-092,Algorithm Task Layer,Address Mapping Management,FR-APP-001,"Write operation flow: Data DMA from host memory to Write Buffer, for each 4KB logical page lookup old PPN, if valid mark old PPN as Invalid (increment that Block's invalid page count), allocate new free physical page (from Current Write Block), update L2P[LPN]=new_ppn, write Data to corresponding NAND media (async), write LPN in OOB area, when Current Write Block is full close and add to Full Block list, open new Write Block, return NVMe command completion",Write operation test,Write operation test,Write flow executes normally,P0,V1.0,5.7.1,,
REQ-093,Algorithm Task Layer,Address Mapping Management,FR-APP-001,"Read operation flow: for each 4KB logical page query L2P table ppn=L2P[LPN], if ppn==INVALID_PPN return all-zero data or Error, parse ppn to physical address (ch/chip/die/plane/block/page), async read via HAL NAND driver, ECC check on read completion (correct if correctable, report Error if uncorrectable), Data DMA to host memory, return NVMe command completion",Read operation test,Read operation test,Read-back data correct,P0,V1.0,5.7.1,,
REQ-094,Algorithm Task Layer,Address Mapping Management,FR-APP-001,"Striping strategy: consecutive logical pages assigned Round-Robin to different Channel Write Blocks, stripe size default 1 NAND page (16KB), alignment optimization 1MB write each 16KB to one Channel (16 Channels perfectly aligned), intra-Channel further cross-Plane striping enables Multi-Plane Program",Striping test,Striping test,Channel concurrency maximized,P0,V1.5,5.7.1,,
REQ-095,Algorithm Task Layer,NAND Block Address Organization,FR-APP-002,"Block state machine: FREE->[allocated as Write Block]->OPEN->[full]->FULL->[selected for GC]->VICTIM->ERASING->[GC reclaimed and erased]->FREE; Block metadata (erase_count, valid_page_count, invalid_page_count, free_page_count, last_erase_time, first_write_time, read_count, state)",State machine test,State machine test,State transitions correct,P0,V1.0,5.7.2,,
REQ-096,Algorithm Task Layer,NAND Block Address Organization,FR-APP-002,"Current Write Block management: each Die/Plane maintains one Current Write Block, new writes sequentially written, full block closed and new CWB opened, multi-Plane mode simultaneously maintains two Plane CWBs on same Die (same Block offset), supports Multi-Plane Program, Plane-level CWB ensures Block/Page alignment constraints for each multi-plane write",CWB test,CWB test,Write operations allocated normally,P0,V1.0,5.7.2,,
REQ-097,Algorithm Task Layer,NAND Block Address Organization,FR-APP-002,"Free block pool management: global free block pool organized hierarchically by Channel/Die/Plane as free block linked lists, allocation strategy prioritizes least-worn blocks (lowest erase_count), block shortage protection triggers emergency GC when any Die free block count < LOW_WATERMARK (default 5 blocks) and pauses new write allocation",Free block pool test,Free block pool test,Allocation strategy correct,P0,V1.0,5.7.2,,
REQ-098,Algorithm Task Layer,Garbage Collection,FR-APP-003,"GC trigger strategy: high watermark (global free block ratio <20%) starts background GC (low priority, no impact on foreground IO), low watermark (global free block ratio <5%) starts emergency GC (high priority, throttles foreground writes), critically low watermark (global free block ratio <2%) stops all write commands and focuses on GC reclamation, Per-Die GC each Die independently maintains watermarks allowing local GC",GC trigger test,GC trigger test,GC auto-triggers,P0,V1.0,5.7.3,,
REQ-099,Algorithm Task Layer,Garbage Collection,FR-APP-003,"Victim Block selection algorithm: Greedy algorithm (default) selects Block with fewest valid pages as Victim, maximizes free pages reclaimed per GC cycle, minimizes valid page migration, maintains sorted set (min-heap) by valid_page_count per Die, time complexity O(log n); Cost-Benefit algorithm considers block utilization and age (time since last erase), Cost-Benefit=(1-utilization)/(2*utilization)*age, prefers high Cost-Benefit Blocks (high invalidity + old data), helps reduce cold data interference with hot data regions; FIFO algorithm selects oldest Full Block by close time; Hot-Cold separation classifies written data by frequency into Hot (frequently updated) and Cold (infrequently updated), Hot data written to dedicated Hot Blocks, Cold data to Cold Blocks, GC preferentially reclaims Hot area Blocks (low valid ratio), Cold area GC triggers infrequently reducing cold data migration",Victim selection test,Victim selection test,Victim Block selection correct,P0,V1.5,5.7.3,,
REQ-100,Algorithm Task Layer,Garbage Collection,FR-APP-003,"GC execution flow: select Victim Block, scan all pages in Victim Block, for each page read OOB-stored LPN, query L2P[page_lpn] to verify if current PPN matches (page still valid), if valid (L2P[page_lpn]==current_ppn) read out page data, allocate new free page, write data to new page, update L2P[page_lpn]=new_ppn, increment old_ppn Block's invalid_page_count; if invalid skip; after all valid pages migrated erase Victim Block, update Block metadata (erase_count++, state=FREE), add erased Block to free block pool",GC execution test,GC execution test,GC successfully reclaims free blocks,P0,V1.0,5.7.3,,
REQ-101,Algorithm Task Layer,Garbage Collection,FR-APP-003,"GC concurrency optimization/Write amplification analysis: multi-Die parallel GC can run simultaneously on multiple Dies without interference; Pipeline GC reads Victim Block valid pages (Read Phase) and writes to new Block (Write Phase) can pipeline across different Dies; GC pause and resume when high-priority IO arrives suspend current NAND Program (Program Suspend) to prioritize IO then resume GC (Program Resume); WAF=NAND_Writes/Host_Writes, ideal WAF~=1/(1-utilization_of_data), target WAF<=3 at 90% drive occupancy steady state (TLC NAND, Greedy GC, 20% OP); real-time WAF statistics exported via OOB; reduce WAF through hot-cold separation, larger OP ratio, optimized GC strategy",GC concurrency test,GC concurrency test,GC concurrency executes correctly,P0,V1.5,5.7.3,,
REQ-102,Algorithm Task Layer,Wear Leveling,FR-APP-004,"Dynamic wear leveling: during GC, prefer writing data to free Blocks with lower P/E cycle count (consider erase_count during free block allocation), implementation maintains min-heap of free blocks sorted by erase_count, allocation always picks block with lowest erase_count, effect: Blocks frequently reclaimed by GC in hot data regions gradually replaced by younger blocks",Dynamic WL test,Dynamic WL test,Wear gradually balanced,P0,V1.5,5.7.4,,
REQ-103,Algorithm Task Layer,Wear Leveling,FR-APP-004,"Static wear leveling: periodically check global Block erase_count distribution (using erase_count histogram), when some Blocks' erase_count significantly below average (default threshold: below 50% of average) trigger static WL; Static WL flow: select cold data Block with lowest erase_count (victim_cold_block), select hot area free Block with highest erase_count (donor_hot_block from frequently erased GC-reclaimed blocks), migrate cold data from victim_cold_block to donor_hot_block, erase victim_cold_block and allocate as new free block for hot data region use; through this swap low-PE blocks rotate to hot data area, high-PE blocks used for cold data; trigger frequency: default once every 100 dynamic GC cycles (configurable)",Static WL test,Static WL test,Static WL triggers correctly,P0,V2.0,5.7.4,,
REQ-104,Algorithm Task Layer,Wear Leveling,FR-APP-004,"Wear monitoring and alerting: real-time statistics of whole-SSD average P/E cycle count and max P/E cycle count, when max P/E count approaches NAND lifetime limit (>80% of PE_CYCLE_LIMIT) set SMART Available Spare low alert, when Available Spare < Available Spare Threshold set SMART Critical Warning (bit 0), dynamically recommend OP ratio adjustment based on wear state (higher wear suggests increasing OP)",Wear monitoring test,Wear monitoring test,Alerts triggered correctly,P0,V2.0,5.7.4,,
REQ-105,Algorithm Task Layer,Read/Write/Erase Command Management,FR-APP-005,"Command state machine: NVMe Command arrives->[RECEIVED]->[PARSING]->[L2P_LOOKUP]->[NAND_QUEUED]->[NAND_EXECUTING]->[ECC_CHECK]->[ERROR?]->No->[COMPLETE], Yes->[RETRY/FAIL]",State machine test,State machine test,State transitions correct,P0,V1.5,5.7.5,,
REQ-106,Algorithm Task Layer,Read/Write/Erase Command Management,FR-APP-005,"Read Retry mechanism: when NAND Read produces correctable ECC error first attempt soft decode (Soft-Decision LDPC), if soft decode fails trigger Read Retry adjusting NAND read voltage (Vread) offset and re-read, Read Retry up to 15 attempts (default, per NAND die spec), each attempt adjusts different Voltage Offset; after 15 retries still failing mark as uncorrectable error (UCE), return NVMe error completion (Media and Data Integrity Error), UCE recorded in NVMe Error Log Page, increment SMART Media and Data Integrity Errors count",Read Retry test,Read Retry test,Retry mechanism executes correctly,P0,V2.0,5.7.5,,
REQ-107,Algorithm Task Layer,Read/Write/Erase Command Management,FR-APP-005,"Write Retry/Write Verify: on Program failure (status register WR_FAIL bit set) attempt writing data to spare area in same Block or new Block, failure count exceeding threshold (default 3) marks Block as bad and removes from FTL, replaced with new block from free pool; Write Verify optionally reads back data after program for verification (Write-and-Verify mode impacts write performance), disabled by default configurable for high-reliability scenarios",Write Retry test,Write Retry test,Retry mechanism executes correctly,P0,V2.0,5.7.5,,
REQ-108,Algorithm Task Layer,IO Flow Control,FR-APP-006,"Multi-level flow control: Host IO rate limiting via Token Bucket, per-Namespace and global two-level rate limiting, IOPS limit 1K-2000K (100 IOPS granularity), bandwidth limit 50MB/s-14GB/s (10MB/s granularity), rate-exceeded commands enter wait queue (max wait queue depth = SQ depth); GC/WL bandwidth quota controls GC NAND bandwidth (default max 30%, min 5%), GC can increase to higher quota (max 80%) when host IO load is low, adaptive adjustment samples host IO and GC bandwidth per second, dynamically adjusts GC quota based on current free block watermark; NAND channel-level flow control per-Channel command queue depth limit (default 128), queue full causes upper command dispatcher to wait (back-pressure propagation), channel starvation detection checks if waiting commands are forgotten; Write buffer flow control based on Write Buffer occupancy ratio triggers 3-level flow control (<60% normal unrestricted, 60%-80% light throttle host write rate reduced 20%, 80%-90% heavy throttle host write rate reduced 50%, >90% suspend new write commands, resume when buffer drains below 70%)",Multi-level flow control test,Multi-level flow control test,Flow control effective,P0,V2.0,5.7.6,,
REQ-109,Algorithm Task Layer,Data Redundancy Backup,FR-APP-007,"RAID-Like data protection: LDPC ECC (first line of defense) each NAND page with ECC parity in OOB area, LDPC encoding with BCH as backup, LDPC as primary (corrects 16-24bit/KB), soft decode retains multi-read probability info for Soft-Decision improving correction capability, ECC computed by dedicated firmware thread (simulates hardware ECC engine behavior); Cross-Die parity (Die-Level Parity) (optional V2.0) computes XOR parity across multi-Die writes, parity page written to independent Parity Die, when any Die has whole-block uncorrectable error data recoverable via parity, implements simple RAID-5 logic (for multi-Die scenarios); Critical metadata redundancy: L2P mapping table dual-stored (DRAM + persistence file), BBT stored as primary and backup copies in NOR Flash, P/E count table also dual-protected, periodic consistency check between two metadata copies with alert on mismatch; Write Buffer power-loss protection simulates SSD controller supercapacitor protection mechanism via WAL: each Write Buffer write operation first writes to WAL file (synchronous), then updates DRAM data, on power loss recovery scans WAL and replays ensuring data consistency, WAL file stored on host high-speed NVMe (e.g. another real NVMe SSD) ensuring WAL write speed is not a bottleneck",Data redundancy test,Data redundancy test,Data protection effective,P0,V2.0,5.7.7,,
REQ-110,Algorithm Task Layer,Command Error Handling,FR-APP-008,"NVMe error status codes/Error handling flow: supports Generic Status Code Type(0x00) Success(0x00), Invalid Command Opcode(0x01), Invalid Field in Command(0x02), Invalid Namespace or Format(0x06), Invalid I/O Queue Identifier(0x0A), Maximum Queue Size Exceeded(0x0B), LBA Out of Range(0x80), Capacity Exceeded(0x81), Namespace Not Ready(0x82); Command Specific Status Code Type(0x01) Completion Queue Invalid(0x00), Invalid Queue Identifier(0x01); Media & Data Integrity Status Code Type(0x02) Write Fault(0x80), Unrecovered Read Error(0x81), End-to-End Guard Check Error(0x82), Compare Failure(0x85)",Error status code test,Error status code test,Error codes returned correctly,P0,V1.5,5.7.8,,
REQ-111,Algorithm Task Layer,Command Error Handling,FR-APP-008,"Recoverable error retry (internal retry transparent to host), exceeding retry count degrades to unrecoverable error, recorded in Error Log Page (internal only); Unrecoverable data error returns corresponding NVMe error status code to host (DNR=0 allows host retry), marks LBA range as ""error reported"", writes to NVMe Error Log Page (Sequence Number, Error Count, CID, SQ ID, Error Location, LBA, NS, Type), SMART increments Media and Data Integrity Errors count; NAND device error: bad block handling marks bad block, replaces with spare block, migrates valid data; NAND entire Chip failure (extreme scenario) attempts recovery via cross-Die parity if available, otherwise reports read error for corresponding LBA range to host, triggers AER notifying host Critical Warning (bit 2: Media Related); Command timeout handling returns Abort command completion to host (if timed-out command internally aborted), if command timeout unrecoverable triggers Controller Reset; Firmware internal error: ASSERT failure/NULL pointer access etc. triggers Panic procedure, non-critical errors (e.g. memory pool exhaustion) recorded in Error Log and continues in degraded mode (DEGRADED)",Error handling test,Error handling test,Error flow executes normally,P0,V2.0,5.7.8,,
REQ-112,Performance Requirements,IOPS Performance,,"Random read IOPS (4KB, QD=32): single namespace no ECC target 1000000 IOPS, single namespace with ECC target 600000 IOPS, multi-namespace (4) total 800000 IOPS, steady-state (90% drive occupancy) target 400000 IOPS",fio random read test,fio random read test,IOPS meets target,P0,V1.0,6.1.1,,
REQ-113,Performance Requirements,IOPS Performance,,"Random write IOPS (4KB, QD=32): initial state (Fresh Out Of Box) target 300000 IOPS, steady-state (90% occupancy, WAF~2) target 150000 IOPS, steady-state (50% occupancy, WAF~1.5) target 200000 IOPS",fio random write test,fio random write test,IOPS meets target,P0,V1.0,6.1.2,,
REQ-114,Performance Requirements,IOPS Performance,,"Mixed read/write IOPS (4KB, 70R/30W, QD=32): steady-state target 250000 IOPS",fio mixed read/write test,fio mixed read/write test,IOPS meets target,P0,V1.5,6.1.3,,
REQ-115,Performance Requirements,Bandwidth Performance,,"Sequential read 128KB target 6.5GB/s, sequential write 128KB target 3.5GB/s, sequential read 1MB target 7.0GB/s, sequential write 1MB target 4.0GB/s, random read 4KB (QD=128) target 4.0GB/s",fio sequential read/write test,fio sequential read/write test,Bandwidth meets target,P0,V1.5,6.2,,
REQ-116,Performance Requirements,Latency Performance,,"Random read (QD=1) P50 80us, P99 150us, P99.9 300us (includes NAND read latency model TLC LSB:35us + transfer); Random write (QD=1) P50 20us, P99 50us, P99.9 100us (Write Buffer hit, excludes NAND program latency); Forced read (FUA write + read) 1ms/3ms/8ms (includes NAND Program latency TLC:800us); GC pause read 200us/500us/2ms (read command latency during GC execution); Flush command 500ms/2s/5s (depends on Write Buffer backlog)",fio latency test,fio latency test,Latency meets target,P0,V1.5,6.3,,
REQ-117,Performance Requirements,Simulation Accuracy,,"NAND Page Read latency error <5%, NAND Page Program latency error <5%, NAND Block Erase latency error <5%, overall IOPS simulation accuracy <10%, WAF simulation accuracy <15%, GC trigger timing accuracy <1% watermark deviation",Simulation accuracy comparison test,Simulation accuracy comparison test,Accuracy meets target,P0,V2.0,6.4,,
REQ-118,Performance Requirements,Scalability,,"Max supported Channels 32, max supported Namespaces 4096, max NAND capacity 256TB (simulated, limited by DRAM size), max concurrent NVMe queues 4096 SQ/CQ pairs, max concurrent commands 65535 (NVMe spec limit), CPU core scalability from 64 to 256 cores linear scaling, IOPS increases with core count",Scalability test,Scalability test,Scalability meets target,P0,V2.0,6.5,,
REQ-119,Performance Requirements,Resource Utilization Target,,"NAND media thread CPU 70-90% (full load) (16 Channels * 2-3 threads overall utilization), FTL thread CPU 60-80% (full load) (4-8 FTL cores), PCIe/NVMe module CPU 40-60% (full load) (IO Dispatcher + Worker), DRAM utilization >85% (simulation storage + mapping table + cache), host OS CPU usage <10% (does not impact other host services)",Resource utilization monitoring,Resource utilization monitoring,Utilization meets target,P0,V2.0,6.6,,
REQ-120,Product Interface,Host Interface,,"Block device node /dev/nvme<n>n<m>, device type NVMe Namespace (Block Device), block size 4096 bytes (Logical Block Size=4KB), namespace capacity configurable default 2TB, interface protocol NVMe 2.0, transport protocol PCIe (virtual)",Block device test,Block device test,Device mounts normally,P0,V1.0,7.1.1,,
REQ-121,Product Interface,nvme-cli Compatibility,,"nvme list: list simulated NVMe devices, nvme id-ctrl: query controller identity, nvme id-ns: query namespace attributes, nvme smart-log: read SMART info, nvme error-log: read error log, nvme get-feature: query features, nvme set-feature: set features, nvme format: format, nvme fw-download: firmware download, nvme fw-commit: firmware commit, nvme create-ns: create namespace, nvme delete-ns: delete namespace, nvme attach-ns: attach namespace",nvme-cli test,nvme-cli test,All commands execute normally,P0,V1.0,7.1.2,,
REQ-122,Product Interface,fio Test Tool Compatibility,,"Support ioengine=io_uring, support direct=1 (O_DIRECT), support numjobs=32 multi-threaded, support iodepth=128 deep queue, fio test runs normally",fio test,fio test,fio test passes,P0,V1.0,7.1.3,,
REQ-123,Product Interface,OOB Socket Interface,,"Unix Domain Socket path /var/run/hfsss/hfsss.sock, protocol JSON-RPC 2.0, GET /status returns simulator overall status, GET /nand/channel/{ch_id} queries Channel status, POST /fault/inject fault injection, POST /config/gc modifies GC configuration",OOB interface test,OOB interface test,All interfaces respond normally,P0,V2.0,7.2.1,,
REQ-124,Product Interface,/proc Filesystem Interface,,"/proc/hfsss/status simulator status (read-only), /proc/hfsss/config current configuration (read-only), /proc/hfsss/perf_counters performance counters (read-only), /proc/hfsss/channel_stats per-Channel statistics (read-only), /proc/hfsss/ftl_stats FTL statistics (mapping table hit rate, GC count, etc.), /proc/hfsss/latency_hist latency histogram (read-only), /proc/hfsss/version simulator version info",/proc interface test,/proc interface test,All interfaces read normally,P0,V2.0,7.2.2,,
REQ-125,Product Interface,Command Line Interface,,"hfsss-ctrl status: view status, hfsss-ctrl perf: view performance statistics (real-time refresh), hfsss-ctrl channel 3: view Channel 3 details, hfsss-ctrl fault inject --type=bad_block --ch=3 --chip=1 --die=0 --block=2048: fault injection, hfsss-ctrl config set gc.algorithm=greedy: configuration change, hfsss-ctrl gc trigger: manual GC trigger, hfsss-ctrl snapshot save: force persistence, hfsss-ctrl log dump --level=warn --last=1000: export last 1000 WARN+ logs, hfsss-ctrl trace start: start command Trace, hfsss-ctrl trace stop: stop command Trace, hfsss-ctrl trace dump --output=/tmp/trace.json: export Trace data",CLI tool test,CLI tool test,All commands work normally,P0,V2.0,7.2.3,,
REQ-126,Product Interface,Configuration File Interface,,"YAML format configuration file /etc/hfsss/hfsss.yaml, configuration items: version, system, memory, cpu, nvme, nand, nor, ftl, persistence, oob, debug",Configuration file test,Configuration file test,Configuration loaded correctly,P0,V1.0,7.3,,
REQ-127,Product Interface,Persistence Data Format Interface,,"NAND data file format: each Plane data file stored independently, file header contains Magic Number/Format Version/File Creation Time/Last Modified Time/Channel ID/Chip ID/Die ID/Plane ID/Blocks Per Plane/Pages Per Block/Page Size/Total File Size/CRC32, data area linearly arranged by Block*Page; L2P mapping table file format: Header contains Magic/Version/Total LPN Count/Checkpoint Sequence Number/Timestamp/CRC64, continuous uint64_t array index=LPN value=PPN; WAL format: each WAL record 64 bytes containing Sequence Number/Record Type/Payload Length/Payload/CRC32, supports L2P Update/Block State Change/Erase Count Update record types",Persistence format test,Persistence format test,Format parsed correctly,P0,V1.5,7.4,,
REQ-128,Fault Injection Framework,NAND Media Faults,,"Bad Block injection parameters: ch/chip/die/plane/block; Read Error injection parameters: ch/chip/die/plane/block/page; Program Error injection parameters: ch/chip/die/plane/block/page; Erase Error injection parameters: ch/chip/die/plane/block; Bit Flip injection parameters: ch/chip/die/plane/block/page/bit_pos; Read Disturb Storm injection parameters: ch/chip/die/block; Data Retention injection parameters: ch/chip/die/plane/block/aging_factor",NAND fault injection test,NAND fault injection test,Faults triggered correctly,P0,V2.5,8.1.1,,
REQ-129,Fault Injection Framework,Power Faults,,"Sudden Power Off: immediately terminate daemon (simulate power loss) without performing persistence; Power Off During Write: simulate power loss during Write Buffer flush to NAND; Power Off During GC: simulate power loss during GC execution",Power fault injection test,Power fault injection test,Faults triggered correctly,P0,V2.5,8.1.2,,
REQ-130,Fault Injection Framework,Controller Faults,,"Memory Corruption: inject random errors in L2P mapping table; Firmware Panic: trigger firmware Panic to test Panic handling flow; Channel Timeout: make all operations on specified Channel timeout; NVMe Queue Corruption: inject CQE errors (Phase Tag flip, etc.)",Controller fault injection test,Controller fault injection test,Faults triggered correctly,P0,V2.5,8.1.3,,
REQ-131,Fault Injection Framework,Fault Injection Interface,,"Execute fault injection via OOB interface (POST /fault/inject) or hfsss-ctrl fault inject CLI tool; supports immediate injection (immediate=true) triggers on next operation; delayed injection (delay_ms=N) triggers after N milliseconds; probabilistic injection (probability=0.01) triggers with specified probability per operation; persistent injection (persistent=true) stays active until explicitly cleared; one-shot injection (persistent=false, default) auto-clears after single trigger",Fault injection interface test,Fault injection interface test,Interface works normally,P0,V2.5,8.2,,
REQ-132,System Reliability and Stability,MTBF Target,,"Under normal IO workload (fio mixed read/write, 64 threads, QD=128) MTBF >= 720 hours (30 days continuous operation); under fault injection testing able to correctly handle all defined fault types without Panic or data corruption",MTBF test,MTBF test,MTBF meets target,P0,V2.0,9.1,,
REQ-133,System Reliability and Stability,Data Integrity Guarantee,,"Under normal operation (no fault injection) read-back data 100% consistent with written data (md5sum verification); after normal shutdown (NVMe Shutdown command) and restart all completed write commands (FUA=1 or after Flush) data must be fully recovered; after simulated power loss (SIGKILL) and restart may lose Write Buffer data not yet persisted, but persisted data 100% intact",Data integrity test,Data integrity test,Data 100% consistent,P0,V1.0,9.2,,
REQ-134,System Reliability and Stability,Stability Requirements,,"Long-running stability: no crash during 72-hour sustained IO stress test; memory leak: memory growth <1MB/hour; correctly handles extreme scenarios: NAND capacity full (no free blocks), all spare blocks exhausted, etc. should return correct error codes rather than crash; concurrency safety: no data races during multi-threaded concurrent access to shared data structures (verified via Thread Sanitizer)",Stability test,Stability test,All tests pass,P0,V2.0,9.3,,
REQ-139,UPLP (Unclean Power Loss Protection),Supercapacitor Energy Model,FR-UPLP-001,"Simulate supercapacitor with configurable capacitance (1-10F), ESR, and voltage range; calculate drain time and energy budget for power-loss protection",Drain time accuracy <5%,Measure drain time vs. calculated value under varying load profiles,Drain time within 5% of analytical model,P0,V3.0,,,
REQ-140,UPLP (Unclean Power Loss Protection),UPLP State Machine,FR-UPLP-002,"Implement Normal->PowerFail->CapDrain->SafeState transitions with <1us power-fail detection latency",State transition latency <10us,Inject power-fail event and measure state machine transition times,All transitions complete within 10us,P0,V3.0,,,
REQ-141,UPLP (Unclean Power Loss Protection),Atomic Write Unit,FR-UPLP-003,"Guarantee 4KB aligned writes are power-safe; detect torn writes via sequence number + CRC validation",Zero torn writes for atomic-sized IOs,Inject power-fail at random points during 4KB writes and verify integrity on recovery,No torn writes detected across 10000 injection cycles,P0,V3.0,,,
REQ-142,UPLP (Unclean Power Loss Protection),Power-Fail-Safe Metadata Journal,FR-UPLP-004,Flush L2P journal entries to NAND within supercapacitor drain window to ensure metadata consistency after UPLP,Metadata consistent after UPLP,Inject power-fail and verify L2P mapping consistency after recovery,L2P table matches pre-power-fail committed state,P0,V3.0,,,
REQ-143,UPLP (Unclean Power Loss Protection),Write Buffer Emergency Flush,FR-UPLP-005,"Prioritized flush during capacitor drain: L2P -> BBT -> SMART -> WAL -> SysInfo, ordered by criticality",All critical metadata flushed within energy budget,Verify flush order and completeness under minimum drain time configuration,All critical metadata persisted in correct priority order,P0,V3.0,,,
REQ-144,UPLP (Unclean Power Loss Protection),UPLP Recovery Sequence,FR-UPLP-006,"Detect unclean shutdown, replay WAL, rebuild FTL state; target recovery time <5s for 1TB capacity",Recovery time <5s for 1TB,Simulate unclean shutdown on 1TB namespace and measure recovery time,Recovery completes in <5s with consistent state,P0,V3.0,,,
REQ-145,UPLP (Unclean Power Loss Protection),UPLP Test Mode,FR-UPLP-007,Injectable power-fail with configurable drain time and injection point for testing UPLP at any FTL phase,Fault injection at any FTL phase,Inject power-fail at each FTL processing phase and verify recovery,System recovers correctly from injection at every phase,P1,V3.0,,,
REQ-146,UPLP (Unclean Power Loss Protection),Unsafe Shutdown Counter,FR-UPLP-008,SMART field (Unsafe Shutdowns) accurately tracks UPLP events across power cycles,Counter matches actual UPLP count,Perform N UPLP events and verify SMART counter equals N,Counter value equals actual UPLP event count,P1,V3.0,,,
REQ-147,QoS (Quality of Service),DWRR Multi-Queue Scheduler,FR-QOS-001,"Deficit Weighted Round-Robin scheduler with deficit counters and configurable per-namespace weights for bandwidth-proportional scheduling",Bandwidth proportional to weight +/-5%,Run concurrent IO on multiple namespaces with different weights and measure bandwidth distribution,Measured bandwidth ratio within +/-5% of configured weight ratio,P0,V3.0,,,
REQ-148,QoS (Quality of Service),Per-Namespace IOPS Limits,FR-QOS-002,Token bucket IOPS enforcement with 1K-2M IOPS configurable granularity per namespace,Actual IOPS within +/-3% of limit,Set IOPS limit per namespace and measure actual IOPS under saturation,Measured IOPS within +/-3% of configured limit,P0,V3.0,,,
REQ-149,QoS (Quality of Service),Per-Namespace Bandwidth Limits,FR-QOS-003,Token bucket bandwidth enforcement with 50MB/s-14GB/s configurable range per namespace,Actual bandwidth within +/-5% of limit,Set bandwidth limit per namespace and measure actual throughput under saturation,Measured bandwidth within +/-5% of configured limit,P0,V3.0,,,
REQ-150,QoS (Quality of Service),Latency SLA Enforcement,FR-QOS-004,Per-namespace P99 latency target monitoring with violation alerts via async event notification,SLA violation detected within 10s,Configure P99 latency SLA and inject latency-inducing load to trigger violation,Alert generated within 10s of sustained SLA violation,P0,V3.0,,,
REQ-151,QoS (Quality of Service),QoS Policy Hot-Reconfiguration,FR-QOS-005,Change QoS parameters (weights/IOPS limits/BW limits) via OOB interface without service restart,Policy effective within 100ms,Change QoS policy via OOB and measure time to new policy taking effect,New policy enforced within 100ms of configuration change,P1,V3.0,,,
